supplier_name,industry
中节能万润股份有限公司,化工与新材料
厦门瑞尔特卫浴科技股份有限公司,橡胶与塑料制品
宁波太平鸟时尚服饰股份有限公司,纺织与工业用布
广州迈普再生医学科技股份有限公司,医疗器械
东北制药集团股份有限公司,医药与原料药制造
广东天元实业集团股份有限公司,包装、纸制品与印刷材料
中山联合光电科技股份有限公司,电子元器件
光力科技股份有限公司,半导体
信质集团股份有限公司,汽车零部件
上海新动力汽车科技股份有限公司,机械设备
福建睿能科技股份有限公司,工业自动化
固高科技股份有限公司,仪器仪表与传感器
佛山电器照明股份有限公司,电气设备
北京天宜上佳高新材料股份有限公司,光伏、储能与新能源设备
云南罗平锌电股份有限公司,金属与基础材料
中触媒新材料股份有限公司,化工与新材料
合肥科拜尔新材料股份有限公司,橡胶与塑料制品
安徽华茂纺织股份有限公司,纺织与工业用布
惠州市锦好医疗科技股份有限公司,医疗器械
东阿阿胶股份有限公司,医药与原料药制造
广东新宏泽包装股份有限公司,包装、纸制品与印刷材料
中巨芯科技股份有限公司,电子元器件
北京京仪自动化装备技术股份有限公司,半导体
兴民智通(集团)股份有限公司,汽车零部件
上海新时达电气股份有限公司,机械设备
科德数控股份有限公司,工业自动化
基康技术股份有限公司,仪器仪表与传感器
保定天威保变电气股份有限公司,电气设备
北京海博思创科技股份有限公司,光伏、储能与新能源设备
云南铜业股份有限公司,金属与基础材料
中钢天源股份有限公司,化工与新材料
四川川环科技股份有限公司,橡胶与塑料制品
安徽金春无纺布股份有限公司,纺织与工业用布
无锡祥生医疗科技股份有限公司,医疗器械
中源协和细胞基因工程股份有限公司,医药与原料药制造
广东松炀再生资源股份有限公司,包装、纸制品与印刷材料
中航光电科技股份有限公司,电子元器件
北京元六鸿远电子科技股份有限公司,半导体
凌云工业股份有限公司,汽车零部件
上海机电股份有限公司,机械设备
秦川机床工具集团股份公司,工业自动化
威海市天罡仪表股份有限公司,仪器仪表与传感器
八方电气(苏州)股份有限公司,电气设备
协鑫集成科技股份有限公司,光伏、储能与新能源设备
云南铝业股份有限公司,金属与基础材料
九江善水科技股份有限公司,化工与新材料
天津鹏翎集团股份有限公司,橡胶与塑料制品
安正时尚集团股份有限公司,纺织与工业用布
昆山科森科技股份有限公司,医疗器械
中牧实业股份有限公司,医药与原料药制造
昆山佳合纸制品科技股份有限公司,包装、纸制品与印刷材料
中航富士达科技股份有限公司,电子元器件
北京北斗星通导航技术股份有限公司,半导体
北京峰璟汽车零部件股份有限公司,汽车零部件
上海汉钟精机股份有限公司,机械设备
苏州伟创电气科技股份有限公司,工业自动化
宁波三星医疗电气股份有限公司,仪器仪表与传感器
公牛集团股份有限公司,电气设备
南京普天通信股份有限公司,光伏、储能与新能源设备
云南锡业股份有限公司,金属与基础材料
云南云天化股份有限公司,化工与新材料
宁波利安科技股份有限公司,橡胶与塑料制品
宏达高科控股股份有限公司,纺织与工业用布
普昂(杭州)医疗科技股份有限公司,医疗器械
丹娜(天津)生物科技股份有限公司,医药与原料药制造
杭州华旺新材料科技股份有限公司,包装、纸制品与印刷材料
中航成飞股份有限公司,电子元器件
北京华峰测控技术股份有限公司,半导体
北汽福田汽车股份有限公司,汽车零部件
上海沪工焊接集团股份有限公司,机械设备
宁波弘讯科技股份有限公司,仪器仪表与传感器
兰州长城电工股份有限公司,电气设备
卧龙电气驱动集团股份有限公司,光伏、储能与新能源设备
云南驰宏锌锗股份有限公司,金属与基础材料
云南煤业能源股份有限公司,化工与新材料
宁波喜悦智行科技股份有限公司,橡胶与塑料制品
山东南山智尚科技股份有限公司,纺织与工业用布
汕头市超声仪器研究所股份有限公司,医疗器械
丽珠医药集团股份有限公司,医药与原料药制造
杭州可靠护理用品股份有限公司,包装、纸制品与印刷材料
中船(邯郸)派瑞特种气体股份有限公司,电子元器件
北京君正集成电路股份有限公司,半导体
北汽蓝谷新能源科技股份有限公司,汽车零部件
上海海立(集团)股份有限公司,机械设备
宁波新芝生物科技股份有限公司,仪器仪表与传感器
北京京运通科技股份有限公司,电气设备
厦门厦钨新能源材料股份有限公司,光伏、储能与新能源设备
内蒙古包钢钢联股份有限公司,金属与基础材料
云南贝泰妮生物科技集团股份有限公司,化工与新材料
宁波天龙电子股份有限公司,橡胶与塑料制品
山东如意毛纺服装集团股份有限公司,纺织与工业用布
江苏东星智慧医疗科技股份有限公司,医疗器械
九芝堂股份有限公司,医药与原料药制造
杭州豪悦护理用品股份有限公司,包装、纸制品与印刷材料
中船汉光科技股份有限公司,电子元器件
北京屹唐半导体科技股份有限公司,半导体
十堰市泰祥实业股份有限公司,汽车零部件
上海澳华内镜股份有限公司,机械设备
宁波柯力传感科技股份有限公司,仪器仪表与传感器
北京利仁科技股份有限公司,电气设备
双良节能系统股份有限公司,光伏、储能与新能源设备
内蒙古鄂尔多斯资源股份有限公司,金属与基础材料
亚士创能科技(上海)股份有限公司,化工与新材料
宁波家联科技股份有限公司,橡胶与塑料制品
山东玉马遮阳科技股份有限公司,纺织与工业用布
江苏天瑞仪器股份有限公司,医疗器械
云南沃森生物技术股份有限公司,医药与原料药制造
森林包装集团股份有限公司,包装、纸制品与印刷材料
中际旭创股份有限公司,电子元器件
北京昂瑞微电子技术股份有限公司,半导体
华域汽车系统股份有限公司,汽车零部件
上海瑞晨环保科技股份有限公司,机械设备
宁波水表(集团)股份有限公司,仪器仪表与传感器
北京双杰电气股份有限公司,电气设备
合纵科技股份有限公司,光伏、储能与新能源设备
凌源钢铁股份有限公司,金属与基础材料
亚钾国际投资(广州)股份有限公司,化工与新材料
宁波市天普橡胶科技股份有限公司,橡胶与塑料制品
广东恒申美达新材料股份公司,纺织与工业用布
江苏鱼跃医疗设备股份有限公司,医疗器械
云南生物谷药业股份有限公司,医药与原料药制造
民丰特种纸股份有限公司,包装、纸制品与印刷材料
九江德福科技股份有限公司,电子元器件
北京燕东微电子股份有限公司,半导体
华懋(厦门)新材料科技股份有限公司,汽车零部件
上海电气风电集团股份有限公司,机械设备
宁波永新光学股份有限公司,仪器仪表与传感器
北京四方继保自动化股份有限公司,电气设备
吉林省金冠电气股份有限公司,光伏、储能与新能源设备
凤形股份有限公司,金属与基础材料
保利联合化工控股集团股份有限公司,化工与新材料
宁波横河精密工业股份有限公司,橡胶与塑料制品
广东洪兴实业股份有限公司,纺织与工业用布
江苏鹿得医疗电子股份有限公司,医疗器械
云南白药集团股份有限公司,医药与原料药制造
浙江京华激光科技股份有限公司,包装、纸制品与印刷材料
亚世光电(集团)股份有限公司,电子元器件
北京赛微电子股份有限公司,半导体
华达汽车科技股份有限公司,汽车零部件
上海神开石油化工装备股份有限公司,机械设备
安徽容知日新科技股份有限公司,仪器仪表与传感器
北京新雷能科技股份有限公司,电气设备
同享(苏州)电子材料科技股份有限公司,光伏、储能与新能源设备
凯盛新能源股份有限公司,金属与基础材料
元利化学集团股份有限公司,化工与新材料
宁波能之光新材料科技股份有限公司,橡胶与塑料制品
广东蒙泰高新纤维股份有限公司,纺织与工业用布
江西三鑫医疗科技股份有限公司,医疗器械
亚宝药业集团股份有限公司,医药与原料药制造
浙江众鑫环保科技集团股份有限公司,包装、纸制品与印刷材料
亚光科技集团股份有限公司,电子元器件
北方华创科技集团股份有限公司,半导体
南京奥联汽车电子电器股份有限公司,汽车零部件
上海铁大电信科技股份有限公司,机械设备
安徽皖仪科技股份有限公司,仪器仪表与传感器
北京昊创瑞通电气设备股份有限公司,电气设备
唐山海泰新能科技股份有限公司,光伏、储能与新能源设备
创新新材料科技股份有限公司,金属与基础材料
内蒙古博源化工股份有限公司,化工与新材料
宁波色母粒股份有限公司,橡胶与塑料制品
恒天海龙股份有限公司,纺织与工业用布
河南翔宇医疗设备股份有限公司,医疗器械
人福医药集团股份公司,医药与原料药制造
浙江凯恩特种材料股份有限公司,包装、纸制品与印刷材料
京东方科技集团股份有限公司,电子元器件
华海清科股份有限公司,半导体
南京泉峰汽车精密技术股份有限公司,汽车零部件
上海骄成超声波技术股份有限公司,机械设备
安徽芯动联科微系统股份有限公司,仪器仪表与传感器
北京科锐集团股份有限公司,电气设备
四川华体照明科技股份有限公司,光伏、储能与新能源设备
北京东方雨虹防水技术股份有限公司,金属与基础材料
内蒙古双欣环保材料股份有限公司,化工与新材料
宁波长阳科技股份有限公司,橡胶与塑料制品
恒逸石化股份有限公司,纺织与工业用布
济民健康管理股份有限公司,医疗器械
亿帆医药股份有限公司,医药与原料药制造
浙江大胜达包装股份有限公司,包装、纸制品与印刷材料
伟时电子股份有限公司,电子元器件
华虹宏力半导体有限公司,半导体
南宁八菱科技股份有限公司,汽车零部件
东富龙科技集团股份有限公司,机械设备
安徽蓝盾光电子股份有限公司,仪器仪表与传感器
北京维通利电气股份有限公司,电气设备
四川英杰电气股份有限公司,光伏、储能与新能源设备
北京凯德石英股份有限公司,金属与基础材料
内蒙古君正能源化工集团股份有限公司,化工与新材料
安徽中鼎密封件股份有限公司,橡胶与塑料制品
扬州天富龙集团股份有限公司,纺织与工业用布
